pair_id,a_age,a_education,a_location,a_career_field,a_career_ambition,a_openness,a_extraversion,a_agreeableness,a_conscientiousness,a_chronotype,a_spontaneity,a_love_language,a_emotional_expressiveness,b_age,b_education,b_location,b_career_field,b_career_ambition,b_openness,b_extraversion,b_agreeableness,b_conscientiousness,b_chronotype,b_spontaneity,b_love_language,b_emotional_expressiveness,compatibility_score,compatible,relationship_longevity_months
1,46,3,Suburban,Healthcare,0.23,0.67,0.78,0.32,0.49,0.02,0.38,Receiving Gifts,0.59,20,3,Urban,Law,0.77,0.35,0.61,0.67,0.5,0.2,0.19,Quality Time,0.73,43.5,0,60
2,32,2,Suburban,Tech,0.58,0.78,0.7,0.51,0.71,0.43,0.72,Quality Time,0.73,38,1,Urban,Law,0.44,0.71,0.31,0.2,0.57,0.45,0.56,Physical Touch,0.84,60.4,0,59
3,25,4,Rural,Marketing,0.59,0.33,0.87,0.64,0.82,0.5,0.57,Acts of Service,0.69,46,2,Rural,Finance,0.61,0.28,0.3,0.49,0.43,0.84,0.74,Physical Touch,0.48,74.3,1,84
4,38,4,Suburban,Finance,0.54,0.34,0.28,0.72,0.81,0.43,0.6,Physical Touch,0.47,20,2,Urban,Science,0.39,0.47,0.35,0.46,0.21,0.8,0.35,Receiving Gifts,0.41,58.0,0,70
5,36,2,Rural,Entrepreneurship,0.56,0.35,0.62,0.27,0.73,0.32,0.63,Acts of Service,0.44,22,3,Urban,Creative Arts,0.63,0.44,0.66,0.45,0.43,0.86,0.36,Acts of Service,0.5,69.8,1,68
6,40,3,Urban,Science,0.75,0.45,0.4,0.71,0.54,0.26,0.24,Words of Affirmation,0.77,41,2,Suburban,Education,0.68,0.56,0.12,0.36,0.04,0.14,1.0,Receiving Gifts,0.83,67.2,1,64
7,28,1,Suburban,Tech,0.36,0.47,0.84,0.56,0.49,0.61,0.91,Quality Time,0.76,26,3,Rural,Science,0.58,0.61,0.26,0.26,0.49,0.36,0.43,Acts of Service,0.43,66.0,1,119
8,28,1,Suburban,Engineering,0.0,0.28,0.33,0.95,0.76,0.18,0.15,Quality Time,0.47,21,3,Urban,Marketing,0.62,0.58,0.73,0.4,0.42,0.62,0.71,Acts of Service,0.75,43.8,0,60
9,41,4,Urban,Entrepreneurship,0.52,0.69,0.5,0.25,0.34,0.15,0.59,Words of Affirmation,0.33,38,3,Rural,Finance,0.8,0.65,0.58,0.32,0.5,0.51,0.6,Words of Affirmation,0.86,72.9,1,69
10,53,5,Rural,Law,0.75,0.65,0.61,0.49,0.28,0.41,0.51,Words of Affirmation,0.71,36,4,Urban,Law,0.42,0.56,0.61,0.43,0.63,0.37,0.95,Physical Touch,0.32,60.9,0,85
11,41,2,Urban,Finance,0.39,0.15,0.48,0.85,0.89,0.52,0.02,Words of Affirmation,0.83,34,4,Suburban,Education,0.29,0.2,0.1,0.2,0.68,0.45,0.44,Quality Time,0.69,63.4,0,65
12,20,3,Suburban,Creative Arts,0.39,0.16,0.18,0.32,0.53,0.36,0.71,Acts of Service,0.73,55,3,Urban,Finance,0.57,0.31,0.14,0.13,0.68,0.22,0.53,Words of Affirmation,0.8,54.1,0,53
13,39,4,Urban,Creative Arts,0.81,0.61,0.59,0.39,0.35,0.69,0.76,Receiving Gifts,0.23,33,2,Urban,Healthcare,0.4,0.68,0.39,0.76,0.52,0.92,0.13,Acts of Service,0.19,57.6,0,57
14,19,4,Urban,Engineering,0.65,0.46,0.41,0.15,0.85,0.42,0.73,Quality Time,0.75,51,1,Suburban,Marketing,0.26,0.33,0.7,0.55,0.25,0.66,0.14,Receiving Gifts,0.6,57.8,0,70
15,41,3,Urban,Education,0.22,0.6,0.2,0.26,0.64,0.6,0.83,Receiving Gifts,0.71,24,5,Suburban,Tech,0.69,0.68,0.15,0.09,0.23,0.66,0.17,Quality Time,0.62,46.7,0,70
16,47,3,Suburban,Law,0.77,0.75,0.15,0.63,0.68,0.62,0.33,Receiving Gifts,0.04,35,2,Suburban,Science,0.48,0.89,0.22,0.97,0.07,0.62,0.49,Receiving Gifts,0.42,65.3,1,80
17,55,3,Suburban,Entrepreneurship,0.17,0.24,0.6,0.24,0.3,0.89,0.81,Words of Affirmation,0.68,26,4,Urban,Marketing,0.72,0.56,0.62,0.06,0.34,0.35,0.74,Acts of Service,0.78,65.9,1,72
18,19,2,Urban,Healthcare,0.28,0.37,0.89,0.22,0.42,0.53,0.43,Acts of Service,0.25,33,2,Urban,Law,0.26,0.72,0.27,0.53,0.25,0.29,0.42,Quality Time,0.31,96.6,1,113
19,38,3,Urban,Engineering,0.42,0.69,0.54,0.43,0.41,0.32,0.6,Words of Affirmation,0.65,25,3,Suburban,Healthcare,0.21,0.24,0.22,0.78,0.36,0.75,0.52,Words of Affirmation,0.85,67.2,1,59
20,50,3,Urban,Law,0.52,0.48,0.73,0.19,0.59,0.93,0.82,Words of Affirmation,0.4,52,3,Suburban,Creative Arts,0.46,0.37,0.52,0.23,0.07,0.69,0.93,Physical Touch,0.41,69.3,1,103
21,29,3,Urban,Entrepreneurship,0.69,0.73,0.25,0.86,0.2,0.77,0.56,Quality Time,0.47,32,3,Suburban,Tech,0.18,0.34,0.28,0.67,0.36,0.46,0.19,Acts of Service,0.15,45.6,0,71
22,39,2,Urban,Healthcare,0.29,0.5,0.83,0.67,0.25,0.41,0.55,Receiving Gifts,0.81,47,4,Urban,Law,0.5,0.66,0.6,0.34,0.67,0.75,0.25,Physical Touch,0.25,75.2,1,98
